Date;DL;UL;Ping
2018-03-22 20:40:02;10.43;12.37;49.401
2018-03-22 20:49:59;10.15;12.38;59.377
2018-03-22 20:59:57;8.72;12.03;34.213
2018-03-22 21:09:58;12.93;12.16;52.791
2018-03-22 21:19:59;12.57;12.03;41.111
2018-03-22 21:30:00;8.73;12.05;66.574
2018-03-22 21:40:01;9.78;12.26;42.108
2018-03-22 21:50:03;7.57;11.98;52.745
2018-03-22 21:51:02;8.29;11.91;45.423
2018-03-22 22:01:03;9.17;12.16;35.078
2018-03-22 22:11:04;8.86;12.17;84.894
2018-03-22 22:21:00;11.58;12.16;57.335
2018-03-22 22:31:00;13.16;12.12;53.16
2018-03-22 22:40:59;11.7;11.8;57.223
2018-03-22 22:50:57;11.12;12.14;39.342
2018-03-22 23:00:56;10.69;9.78;37.581
2018-03-22 23:10:56;12.25;11.8;40.757
2018-03-22 23:20:58;15.43;12.51;50.361
2018-03-22 23:30:51;16.47;12.15;28.134
2018-03-22 23:40:53;22.85;12.37;31.798
2018-03-22 23:50:48;24.67;12.36;35.202
2018-03-23 00:00:47;71.63;12.19;20.094
2018-03-23 00:10:45;124.74;12.23;19.885
2018-03-23 00:20:45;49.8;12.37;35.593
2018-03-23 00:30:42;106.96;12.4;22.016
2018-03-23 00:40:45;87.42;12.4;26.662
2018-03-23 00:50:41;109.99;12.47;26.876
2018-03-23 01:00:44;111.48;12.27;37.873
2018-03-23 01:10:38;185.64;11.94;16.581
2018-03-23 01:20:37;187.2;12.15;16.113
2018-03-23 01:30:38;189.2;12.29;22.906
2018-03-23 01:40:34;163.25;12.45;18.994
2018-03-23 01:50:34;193.06;11.99;25.529
2018-03-23 02:00:33;119.55;7.95;19.46
2018-03-23 02:10:30;185.26;12.34;18.286
2018-03-23 02:20:30;179.76;12.27;20.411
2018-03-23 02:30:27;87.27;12.56;17.851
2018-03-23 02:40:55;196.59;12.42;17.32
2018-03-23 02:50:54;196.77;12.63;17.849
2018-03-23 03:00:23;188.51;11.45;18.847
2018-03-23 03:10:21;187.53;12.4;18.117
2018-03-23 03:20:20;191.49;11.66;19.466
2018-03-23 03:30:19;181.16;11.04;16.532
2018-03-23 03:40:17;184.09;11.7;19.246
2018-03-23 03:50:16;191.14;11.48;18.725
2018-03-23 04:00:15;196.1;12.21;16.737
2018-03-23 04:10:15;196.21;12.36;19.61
2018-03-23 04:20:14;194.45;11.9;18.473
2018-03-23 04:30:12;192.42;9.78;16.707
2018-03-23 04:40:11;189.64;12.24;18.88
2018-03-23 04:50:09;176.15;12.04;17.931
2018-03-23 05:00:08;195.59;12.33;18.53
2018-03-23 05:10:07;195.89;12.25;19.192
